Layer ID,GFLOPS,% of peak,Peak (Not Boosted),Peak Boosted,,,,,,
2,330.18,63%,416,528,,,,,,
3,223.82,42%,416,528,,,,,,
4,517.73,98%,416,528,,,,,,
5,268.01,51%,416,528,,,,,,
6,357.1,68%,416,528,,,,,,
7,188.1,36%,416,528,,,,,,
8,330.06,63%,416,528,,,,,,
9,286.17,54%,416,528,,,,,,
10,408.01,77%,416,528,,,,,,
11,443.26,84%,416,528,,,,,,
12,246.03,47%,416,528,,,,,,
13,528.62,100%,416,528,,,,,,
14,485.51,92%,416,528,,,,,,
15,475.36,90%,416,528,,,,,,
16,419.53,79%,416,528,,,,,,
17,383.26,73%,416,528,,,,,,
18,256.53,49%,416,528,,,,,,
19,426.43,81%,416,528,,,,,,
20,427.99,81%,416,528,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
